Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Egg Fried Rice,Tapioca Chips,Egg Fried Rice with Tapioca Chips,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Tapioca,  Oil,  Salt,  chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 20.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLB011,  SLJ002,  SLK002"
Egg Fried Rice,potatoe cheese Balls,Egg Fried Rice with potatoe cheese Balls,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, cheese,  Potatoes,  pepper","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 60.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLG002,  SLB006,  SLK018"
Egg Fried Rice,Vegetable Balls,Egg Fried Rice with Vegetable Balls,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Carrot,  leeks,  Jackfruit,  Potatoes","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 50.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055,  SLD055,  SLD049,  SLB006,  SLK018"
Egg Fried Rice,Ginger Chicken,Egg Fried Rice with Ginger Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK012, SLK002"
Seafood Fried Rice,Chicken Curry,Seafood Fried Rice with Chicken Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Coconut milk,  Spices","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLI005"
Seafood Fried Rice,Chicken Curry,Seafood Fried Rice with Chicken Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Coconut milk,  Spices","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLI005"
Seafood Fried Rice,Devilled Chicken,Seafood Fried Rice with Devilled Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 5.0, 10.0, 20.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLK002"
Seafood Fried Rice,Devilled Fish,Seafood Fried Rice with Devilled Fish,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 5.0, 5.0, 20.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLK002"
Seafood Fried Rice,Ala Badun,Seafood Fried Rice with Ala Badun,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Potato,  Oil, onion, chilli","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 30.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB006, SLJ002"
Seafood Fried Rice,Cashew Curry,Seafood Fried Rice with Cashew Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002"
Seafood Fried Rice,Octopus Curry,Seafood Fried Rice with Octopus Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Octopus,  Coconut milk,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLF042,  SLI005, SLK002"
Seafood Fried Rice,Ginger Chicken,Seafood Fried Rice with Ginger Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Seafood Fried Rice,Fish Cutlets,Seafood Fried Rice with Fish Cutlets,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 50.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLF034,  SLB006,  SLK002"
Seafood Fried Rice,Vegetable Cutlets,Seafood Fried Rice with Vegetable Cutlets,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 40.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB002,  SLB006,  SLK002"
Seafood Fried Rice,Tapioca Chips,Seafood Fried Rice with Tapioca Chips,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
